descripcion,categoria_slug,idioma,comercio
PEAJE AUTOPISTA MEXICO QUERETARO,transporte,es,Peaje Autopista Mexico Queretaro
FERRETERIA EL TORNILLO,vivienda,es,Ferreteria El Tornillo
Libros PUEBLA,educacion,es,Libros
Streaming Subscription,entretenimiento,en,Streaming Subscription
Netflix #5404,entretenimiento,es,Netflix
Pedagio RECIFE,transporte,pt,Pedagio
401k Contribution,ahorro_inversion,en,401k Contribution
PAGO Home Depot Mexico,vivienda,es,Home Depot Mexico
CASH ADVANCE #6024,otros,en,Cash Advance
Temu,compras,es,Temu
CARTAO Posto Shell,transporte,pt,Posto Shell
LAZER,entretenimiento,pt,Lazer
ACH Exxon Mobil,transporte,en,Exxon Mobil
COMPRA CARTAO Telha Norte,vivienda,pt,Telha Norte
BEST BUY MEXICO MEX,compras,es,Best Buy Mexico
Latam Brasil BR,transporte,pt,Latam Brasil
IKEA US,vivienda,en,IKEA
Office Depot,compras,es,Office Depot
POS LAUNDROMAT,otros,en,Laundromat
Star Plus,entretenimiento,es,Star Plus
PIX Recebido Salario #7523,ingresos,pt,PIX Recebido Salario
Metrobus *VAYT,transporte,es,Metrobus
ACH STEAM STORE,entretenimiento,en,Steam Store
TICKETMASTER CONCIERTO CDMX,entretenimiento,es,Ticketmaster Concierto
ZARA MEXICO *YFJAVQM6,compras,es,Zara Mexico
COMPRA 99 Taxi,transporte,pt,99 Taxi
PAGAMENTO CLARO NET,servicios,pt,Claro Net
Kuspit Inversiones PUEBLA,ahorro_inversion,es,Kuspit Inversiones
DEBIT IKEA,vivienda,en,IKEA
RESTAURANTE EL FAROLITO,alimentacion,es,Restaurante El Farolito
Sitio Taxi Reforma MERIDA,transporte,es,Sitio Taxi Reforma
Matricula,educacion,es,Matricula
Healthcare DENVER,salud,en,Healthcare
Aluguel Recebido,ingresos,pt,Aluguel Recebido
CARD BP FUEL,transporte,en,BP Fuel
Aeromexico SUC 6728,transporte,es,Aeromexico
POS COMCAST XFINITY,servicios,en,Comcast Xfinity
MENSALIDADE ESCOLA OBJETIVO #5369,educacion,pt,Mensalidade Escola Objetivo
Rent Payment LOS ANGELES,vivienda,en,Rent Payment
Donativo Cruz Roja,otros,es,Donativo Cruz Roja
COMPRA PLAYSTATION BRASIL,entretenimiento,pt,PlayStation Brasil
Devolucion de Impuestos SAT,ingresos,es,Devolucion de Impuestos SAT
DOM Abono de Sueldo,ingresos,es,Abono de Sueldo
PARAMOUNT PLUS,entretenimiento,es,Paramount Plus
Lazer RIO DE JANEIRO,entretenimiento,pt,Lazer
Investimento,ahorro_inversion,pt,Investimento
COMPRA TDC Netflix,entretenimiento,es,Netflix
Lavanderia Express SUC 2235,otros,es,Lavanderia Express
Dental Clinic *DLMQ0,salud,en,Dental Clinic
Cuota de Mantenimiento,vivienda,es,Cuota de Mantenimiento
Gas Encanado,servicios,pt,Gas Encanado
Ingresso.com Show *X0E1SJBU,entretenimiento,pt,Ingresso.com Show
COMPRA TDC Pago Tarjeta de Credito BBVA,finanzas,es,Pago Tarjeta de Credito BBVA
PAGO Aguinaldo,ingresos,es,Aguinaldo
Equinox Gym,entretenimiento,en,Equinox Gym
Superama *JPKL0BLV,alimentacion,es,Superama
ROUPAS,compras,pt,Roupas
Casa e Video Moveis #5740,vivienda,pt,Casa e Video Moveis
CARTAO Livraria Cultura,educacion,pt,Livraria Cultura
TEATRO INSURGENTES PUEBLA,entretenimiento,es,Teatro Insurgentes
Anuidade do Cartao SAO PAULO,finanzas,pt,Anuidade do Cartao
CONSULTA MEDICA,salud,es,Consulta Medica
RESTAURANTE EL FAROLITO #3946,alimentacion,es,Restaurante El Farolito
Target *59Y7,compras,en,Target
WAYFAIR *1TNR0A,compras,en,Wayfair
Pagamento de Divida BELO HORIZONTE,finanzas,pt,Pagamento de Divida
TARJ ELEKTRA,compras,es,Elektra
Colegiatura Universidad UNAM TIJUANA,educacion,es,Colegiatura Universidad UNAM
University Tuition SEATTLE,educacion,en,University Tuition
Saraiva Livros,educacion,pt,Saraiva Livros
CARTAO Droga Raia,salud,pt,Droga Raia
Pago Tarjeta de Credito BBVA,finanzas,es,Pago Tarjeta de Credito BBVA
DOM Plomeria Rapida,vivienda,es,Plomeria Rapida
LIBROS,educacion,es,Libros
Salud MERIDA,salud,es,Salud
PAYMENT Credit Card Payment,finanzas,en,Credit Card Payment
LANCHONETE,alimentacion,pt,Lanchonete
Disney Plus US,entretenimiento,en,Disney Plus US
Wegmans US,alimentacion,en,Wegmans
POS IRS Tax Payment,finanzas,en,IRS Tax Payment
IMPOSTOS,finanzas,pt,Impostos
Rappi Brasil BELO HORIZONTE,alimentacion,pt,Rappi Brasil
Pagamento de Aluguel,vivienda,pt,Pagamento de Aluguel
Interest Charge HOUSTON,finanzas,en,Interest Charge
DEBITO AUTOMATICO SKY BRASIL,servicios,pt,Sky Brasil
PAGO Liverpool,compras,es,Liverpool
CARTORIO TAXA,otros,pt,Cartorio Taxa
PAGAMENTO TESOURO DIRETO,ahorro_inversion,pt,Tesouro Direto
RECURRING Rite Aid,salud,en,Rite Aid
PIX CURSO DE INGLES WIZARD,educacion,pt,Curso de Ingles Wizard
VIVO FIBRA,servicios,pt,Vivo Fibra
EQUINOX GYM,entretenimiento,en,Equinox Gym
Disney Plus #2998,entretenimiento,es,Disney Plus
Roupas,compras,pt,Roupas
COMPRA CARTAO iFood,alimentacion,pt,iFood
Steam Juegos,entretenimiento,es,Steam Juegos
PAYMENT COLLEGE BOOKSTORE,educacion,en,College Bookstore
MENSALIDADE ESCOLA OBJETIVO,educacion,pt,Mensalidade Escola Objetivo
ABARROTES,alimentacion,es,Abarrotes
LAVANDERIA RAPIDA,otros,pt,Lavanderia Rapida
DEBITO AUTOMATICO Padaria Bella Paulista,alimentacion,pt,Padaria Bella Paulista
Deposito em Conta SALVADOR,ingresos,pt,Deposito em Conta
DOM Volaris,transporte,es,Volaris
KUMON MATEMATICAS,educacion,es,Kumon Matematicas
Peaje PUEBLA,transporte,es,Peaje
EXTRA BELO HORIZONTE,alimentacion,pt,Extra
Retiro de Efectivo,otros,es,Retiro de Efectivo
GROCERIES,alimentacion,en,Groceries
STEAM GAMES,entretenimiento,pt,Steam Games
PAGO Cobro a Cliente Freelance,ingresos,es,Cobro a Cliente Freelance
DEBITO AUTOMATICO Onibus Viacao Cometa,transporte,pt,Onibus Viacao Cometa
SAQUE,otros,pt,Saque
DOM Movistar Mexico,servicios,es,Movistar Mexico
DOM COURSERA CURSOS,educacion,es,Coursera Cursos
Overdraft Fee,finanzas,en,Overdraft Fee
Card Annual Fee CHICAGO,finanzas,en,Card Annual Fee
401K CONTRIBUTION,ahorro_inversion,en,401k Contribution
Mensalidade,educacion,pt,Mensalidade
CARTAO ConectCar,transporte,pt,ConectCar
Administracion Fraccionamiento,vivienda,es,Administracion Fraccionamiento
PAGAMENTO Copel Distribuicao,servicios,pt,Copel Distribuicao
BINANCE COMPRA SUC 5184,ahorro_inversion,es,Binance Compra
NOTARIA PUBLICA TRAMITE *09OG,otros,es,Notaria Publica Tramite
Public Transit HOUSTON,transporte,en,Public Transit
DOM KFC,alimentacion,es,KFC
Enrollment SEATTLE,educacion,en,Enrollment
TED VIVO FIBRA,servicios,pt,Vivo Fibra
BARBERIA EL CORTE,otros,es,Barberia El Corte
Mortgage Payment SEATTLE,vivienda,en,Mortgage Payment
CARD Direct Deposit Salary,ingresos,en,Direct Deposit Salary
COMPRA Copel Distribuicao,servicios,pt,Copel Distribuicao
TALLER MECANICO LOPEZ,transporte,es,Taller Mecanico Lopez
CARD SPECTRUM CABLE,servicios,en,Spectrum Cable
COMPRA CARTAO 99 Taxi,transporte,pt,99 Taxi
INSURANCE,finanzas,en,Insurance
TRANSFERENCIA RECIBIDA,ingresos,es,Transferencia Recibida
PAGAMENTO Riachuelo,compras,pt,Riachuelo
Uber *XKDZ,transporte,es,Uber
DOCTOR CONSULTA GENERAL #4919,salud,es,Doctor Consulta General
Netflix US *6FJAX3YU,entretenimiento,en,Netflix US
Salud,salud,es,Salud
RESTAURANTE FOGO DE CHAO,alimentacion,pt,Restaurante Fogo de Chao
LABORATORIO,salud,es,Laboratorio
CARD Uber US,transporte,en,Uber US
COMPRA EN PAGO MINIMO BANAMEX,finanzas,es,Pago Minimo Banamex
Aluguel PORTO ALEGRE,vivienda,pt,Aluguel
Medicamentos CDMX,salud,es,Medicamentos
Azul Linhas Aereas,transporte,pt,Azul Linhas Aereas
DEPOSIT RECEIVED,ingresos,en,Deposit Received
CETES DIRECTO GUADALAJARA,ahorro_inversion,es,Cetes Directo
PET SHOP CLINICA VETERINARIA,otros,pt,Pet Shop Clinica Veterinaria
Nomina,ingresos,es,Nomina
Crunchyroll SUC 6226,entretenimiento,es,Crunchyroll
COMISION BANCARIA SUC 156,finanzas,es,Comision Bancaria
RECURRING ALBERTSONS,alimentacion,en,Albertsons
Pagamento Fatura Cartao Nubank #5396,finanzas,pt,Pagamento Fatura Cartao Nubank
COMCAST XFINITY US,servicios,en,Comcast Xfinity
Pedagio CCR RIO DE JANEIRO,transporte,pt,Pedagio CCR
PAGO SERVICIO ADIDAS MEXICO,compras,es,Adidas Mexico
Plano de Saude SALVADOR,salud,pt,Plano de Saude
HEB MEX,alimentacion,es,HEB
DEBIT Aldi,alimentacion,en,Aldi
CONSULTA MEDICA #4959,salud,pt,Consulta Medica
CARTAO CURSO DE INGLES WIZARD,educacion,pt,Curso de Ingles Wizard
Crunchyroll #1290,entretenimiento,es,Crunchyroll
ACH WAYFAIR FURNITURE,vivienda,en,Wayfair Furniture
PURCHASE NORDSTROM,compras,en,Nordstrom
STREAMING SUBSCRIPTION,entretenimiento,en,Streaming Subscription
DOM PLAYSTATION STORE,entretenimiento,es,PlayStation Store
PEDAGIO,transporte,pt,Pedagio
Luz CDMX,servicios,es,Luz
AMC THEATRES,entretenimiento,en,AMC Theatres
Transporte BELO HORIZONTE,transporte,pt,Transporte
Mexibus,transporte,es,Mexibus
Eletronicos,compras,pt,Eletronicos
Doctor Visit,salud,en,Doctor Visit
DEBITO AUTOMATICO Bio Ritmo Academia,entretenimiento,pt,Bio Ritmo Academia
RECURRING MORTGAGE PAYMENT,vivienda,en,Mortgage Payment
RECURRING SCHOOL SUPPLIES,educacion,en,School Supplies
Consulta Medica RECIFE,salud,pt,Consulta Medica
PAGO SERVICIO Cuota Mantenimiento Condominio,vivienda,es,Cuota Mantenimiento Condominio
PAGO DE RENTA,vivienda,es,Pago de Renta
Sendas,alimentacion,pt,Sendas
COMPRA Outback,alimentacion,pt,Outback
Aplicacao Financeira,ahorro_inversion,pt,Aplicacao Financeira
Americanas RECIFE,compras,pt,Americanas
Leisure DENVER,entretenimiento,en,Leisure
Supermercado CURITIBA,alimentacion,pt,Supermercado
Tax Refund US,ingresos,en,Tax Refund
COMPRA EN Cobro a Cliente Freelance,ingresos,es,Cobro a Cliente Freelance
Livros RIO DE JANEIRO,educacion,pt,Livros
ZARA MEXICO,compras,es,Zara Mexico
TWITCH SUBSCRIPTION *N9MYXLA,entretenimiento,en,Twitch Subscription
Payroll DENVER,ingresos,en,Payroll
POS Personal Loan Payment,finanzas,en,Personal Loan Payment
PAGAMENTO Nuinvest Aporte,ahorro_inversion,pt,Nuinvest Aporte
OI TELECOMUNICACOES,servicios,pt,Oi Telecomunicacoes
Hulu US,entretenimiento,en,Hulu
Movistar Mexico MEX,servicios,es,Movistar Mexico
Rent Payment,vivienda,en,Rent Payment
UNITED AIRLINES,transporte,en,United Airlines
COMPRA Taxa de Condominio,vivienda,pt,Taxa de Condominio
BIO RITMO ACADEMIA #245,entretenimiento,pt,Bio Ritmo Academia
Volaris MEX,transporte,es,Volaris
UDEMY CURSO GUADALAJARA,educacion,es,Udemy Curso
Telcel MEX,servicios,es,Telcel
Colegio Particular Cuota TIJUANA,educacion,es,Colegio Particular Cuota
DEBIT Veterinary Clinic,otros,en,Veterinary Clinic
Overdraft Fee #5411,finanzas,en,Overdraft Fee
DOM Taqueria El Paisa,alimentacion,es,Taqueria El Paisa
Roupas RECIFE,compras,pt,Roupas
DEBIT CVS PHARMACY,salud,en,CVS Pharmacy
DEBITO AUTOMATICO CENTAURO ESPORTES,compras,pt,Centauro Esportes
RECURRING LOWES HOME IMPROVEMENT,vivienda,en,Lowes Home Improvement
Bio Ritmo Academia *DG9YS83,entretenimiento,pt,Bio Ritmo Academia
PAYMENT Plumbing Service,vivienda,en,Plumbing Service
EXPENSE REIMBURSEMENT #6162,ingresos,en,Expense Reimbursement
SPOLETO #4835,alimentacion,pt,Spoleto
PAGO BODEGA AURRERA,alimentacion,es,Bodega Aurrera
Conta de Luz,servicios,pt,Conta de Luz
Medication,salud,en,Medication
Rent,vivienda,en,Rent
PIX IPVA Detran,finanzas,pt,IPVA Detran
Nuinvest Aporte #1813,ahorro_inversion,pt,Nuinvest Aporte
Uncategorized HOUSTON,otros,en,Uncategorized
COMPRA EN HEB,alimentacion,es,HEB
Apple Store LOS ANGELES,compras,en,Apple Store
POS T-MOBILE,servicios,en,T-Mobile
Pedagio,transporte,pt,Pedagio
TED FUNDO DE INVESTIMENTO,ahorro_inversion,pt,Fundo de Investimento
Comida,alimentacion,es,Comida
DOM Gas Natural Fenosa,servicios,es,Gas Natural Fenosa
Uber Eats,alimentacion,es,Uber Eats
POS GENERAL HOSPITAL,salud,en,General Hospital
ACH Credit Card Payment,finanzas,en,Credit Card Payment
Electricity,servicios,en,Electricity
ESTACIONAMENTO,transporte,pt,Estacionamento
PAGO Panaderia La Espiga,alimentacion,es,Panaderia La Espiga
PIX CEMIG Energia,servicios,pt,CEMIG Energia
COMPRA CARTAO Pao de Acucar,alimentacion,pt,Pao de Acucar
PAGO Teatro Insurgentes,entretenimiento,es,Teatro Insurgentes
COMPRA CARTAO Drogaria Sao Paulo,salud,pt,Drogaria Sao Paulo
SCHOOL SUPPLIES,educacion,en,School Supplies
DOM Comision Bancaria,finanzas,es,Comision Bancaria
ANUALIDAD DE TARJETA,finanzas,es,Anualidad de Tarjeta
Salario PUEBLA,ingresos,es,Salario
Salao de Beleza,otros,pt,Salao de Beleza
FCIA del Ahorro *Z97ZQ512,salud,es,FCIA del Ahorro
DEBIT SCHOOL SUPPLIES,educacion,en,School Supplies
TARJ Intereses Credito Nomina,finanzas,es,Intereses Credito Nomina
Streaming,entretenimiento,es,Streaming
HABIBS,alimentacion,pt,Habibs
LIBRERIA GANDHI #2141,educacion,es,Libreria Gandhi
Comercial Mexicana SUC 3369,alimentacion,es,Comercial Mexicana
Electronics CHICAGO,compras,en,Electronics
Mantenimiento del Hogar MERIDA,vivienda,es,Mantenimiento del Hogar
HOA Dues SEATTLE,vivienda,en,HOA Dues
COMPRA EN Telmex,servicios,es,Telmex
PAGO CUOTA MANTENIMIENTO CONDOMINIO,vivienda,es,Cuota Mantenimiento Condominio
COMPRA Salario Mensal,ingresos,pt,Salario Mensal
COMPRA TDC Uber Eats,alimentacion,es,Uber Eats
Aporte em Fundo SAO PAULO,ahorro_inversion,pt,Aporte em Fundo
Khan Academy Donation,educacion,en,Khan Academy Donation
SALUD,salud,es,Salud
Riachuelo *2IAT44QI,compras,pt,Riachuelo
GIRAFFAS,alimentacion,pt,Giraffas
School Supplies NEW YORK,educacion,en,School Supplies
Pedagio CCR BR,transporte,pt,Pedagio CCR
REEMBOLSO DE DESPESAS,ingresos,pt,Reembolso de Despesas
PIX Comgas,servicios,pt,Comgas
PAGO SERVICIO BITSO CRIPTO,ahorro_inversion,es,Bitso Cripto
DoorDash US,alimentacion,en,DoorDash
Transfer to Savings US,ahorro_inversion,en,Transfer to Savings
DEBITO AUTOMATICO Reforma Predial,vivienda,pt,Reforma Predial
PRESTAMO PERSONAL HSBC SUC 2502,finanzas,es,Prestamo Personal HSBC
RAPPI BRASIL,alimentacion,pt,Rappi Brasil
Telefonia,servicios,es,Telefonia
MENSALIDADE FACULDADE USP PORTO ALEGRE,educacion,pt,Mensalidade Faculdade USP
Gasolina,transporte,es,Gasolina
PAGO Reparto de Utilidades,ingresos,es,Reparto de Utilidades
Decimo Terceiro,ingresos,pt,Decimo Terceiro
APORTE EM FUNDO,ahorro_inversion,pt,Aporte em Fundo
Medication HOUSTON,salud,en,Medication
PAYMENT Target,compras,en,Target
Deposit Received,ingresos,en,Deposit Received
COMPRA ONLINE,compras,pt,Compra Online
DEBITO AUTOMATICO Shopee Brasil,compras,pt,Shopee Brasil
TED COPEL DISTRIBUICAO,servicios,pt,Copel Distribuicao
DEBIT Laundromat,otros,en,Laundromat
Lancamento Nao Identificado CURITIBA,otros,pt,Lancamento Nao Identificado
PAGAMENTO SEGURO AUTO PORTO SEGURO,finanzas,pt,Seguro Auto Porto Seguro
PAGO SERVICIO Amazon Mexico,compras,es,Amazon Mexico
Agua QUERETARO,servicios,es,Agua
Combustible CDMX,transporte,es,Combustible
DEBITO AUTOMATICO CASAS BAHIA,compras,pt,Casas Bahia
PAYROLL DEPOSIT,ingresos,en,Payroll Deposit
Sanborns #3924,alimentacion,es,Sanborns
Seguro Medico,salud,es,Seguro Medico
PAYMENT Loan Interest Payment,finanzas,en,Loan Interest Payment
CARTAO Netflix Brasil,entretenimiento,pt,Netflix Brasil
DEBIT Vanguard Investment,ahorro_inversion,en,Vanguard Investment
POS EZ PASS TOLL,transporte,en,EZ Pass Toll
MAGAZINE LUIZA *8X2SH4,compras,pt,Magazine Luiza
SITIO TAXI REFORMA,transporte,es,Sitio Taxi Reforma
PAGAMENTO Laboratorio Fleury,salud,pt,Laboratorio Fleury
TICKETMASTER CONCIERTO,entretenimiento,es,Ticketmaster Concierto
Food,alimentacion,en,Food
DEBIT Whole Foods Market,alimentacion,en,Whole Foods Market
Nintendo eShop SUC 6989,entretenimiento,es,Nintendo eShop
PAGO TOKS,alimentacion,es,Toks
Didi Food,alimentacion,es,Didi Food
DOM Didi Food,alimentacion,es,Didi Food
Education MIAMI,educacion,en,Education
PIX EMPRESTIMO PESSOAL SANTANDER,finanzas,pt,Emprestimo Pessoal Santander
Starbucks #5833,alimentacion,es,Starbucks
COMPRA CLINICA ODONTOLOGICA,salud,pt,Clinica Odontologica
DEBITO AUTOMATICO ACADEMIA SMART FIT,entretenimiento,pt,Academia Smart Fit
MANUTENCAO DO LAR,vivienda,pt,Manutencao do Lar
Property Tax *D1JN3LY,vivienda,en,Property Tax
COMPRA Aplicacao em CDB,ahorro_inversion,pt,Aplicacao em CDB
GENERAL HOSPITAL,salud,en,General Hospital
ELECTRIC UTILITY BILL #3059,servicios,en,Electric Utility Bill
Inscripcion Tec de Monterrey PUEBLA,educacion,es,Inscripcion Tec de Monterrey
MEGACABLE QUERETARO,servicios,es,Megacable
APORTACION A FONDO,ahorro_inversion,es,Aportacion a Fondo
ADMINISTRACION FRACCIONAMIENTO *Y7O0,vivienda,es,Administracion Fraccionamiento
PAGAMENTO Cafeteria Suplicy,alimentacion,pt,Cafeteria Suplicy
SANBORNS CDMX,alimentacion,es,Sanborns
CREDITO HIPOTECARIO BBVA,vivienda,es,Credito Hipotecario BBVA
CARTAO CARREFOUR,alimentacion,pt,Carrefour
COMPRA TDC HONORARIOS PROFESIONALES,ingresos,es,Honorarios Profesionales
Pago de Deuda,finanzas,es,Pago de Deuda
SCHOOL SUPPLIES MIAMI,educacion,en,School Supplies
DOM Barberia El Corte,otros,es,Barberia El Corte
TELECINE CURITIBA,entretenimiento,pt,Telecine
RECURRING ROTH IRA DEPOSIT,ahorro_inversion,en,Roth IRA Deposit
RECURRING Sprouts Farmers Market,alimentacion,en,Sprouts Farmers Market
TARJ Paramount Plus,entretenimiento,es,Paramount Plus
DOM YouTube Premium,entretenimiento,es,YouTube Premium
STUDENT LOAN PAYMENT,educacion,en,Student Loan Payment
COMPRA EN Optica Devlyn,salud,es,Optica Devlyn
DEBITO AUTOMATICO BRT RIO,transporte,pt,BRT Rio
PAYROLL DEPOSIT MIAMI,ingresos,en,Payroll Deposit
Beat,transporte,es,Beat
DEBIT Greyhound,transporte,en,Greyhound
Footwear NEW YORK,compras,en,Footwear
Calcados SAO PAULO,compras,pt,Calcados
TELEFONIA,servicios,es,Telefonia
Costco #7360,alimentacion,es,Costco
PAGO SERVICIO Aportacion Afore,ahorro_inversion,es,Aportacion Afore
PIX Steam Games,entretenimiento,pt,Steam Games
Toll,transporte,en,Toll
CARTAO Imposto de Renda Receita Federal,finanzas,pt,Imposto de Renda Receita Federal
Mensalidade Faculdade USP,educacion,pt,Mensalidade Faculdade USP
LAVANDERIA EXPRESS *EJBJ4D,otros,es,Lavanderia Express
COMPRA TARIFA BANCARIA ITAU,finanzas,pt,Tarifa Bancaria Itau
KFC GUADALAJARA,alimentacion,es,KFC
POS Plumbing Service,vivienda,en,Plumbing Service
COMPRA EN VETERINARIA PATITAS,otros,es,Veterinaria Patitas
MAGAZINE LUIZA RECIFE,compras,pt,Magazine Luiza
Energia Eletrica,servicios,pt,Energia Eletrica
PAGAMENTO POSTO SHELL,transporte,pt,Posto Shell
PAYMENT NATURAL GAS COMPANY,servicios,en,Natural Gas Company
Farmacias Benavides #845,salud,es,Farmacias Benavides
Deposito em Conta,ingresos,pt,Deposito em Conta
Bonificacao BELO HORIZONTE,ingresos,pt,Bonificacao
TED Curso de Ingles Wizard,educacion,pt,Curso de Ingles Wizard
CLINICA MEDICA SUR,salud,es,Clinica Medica Sur
TED Riachuelo,compras,pt,Riachuelo
SHELL GAS STATION,transporte,en,Shell Gas Station
COMPRA TDC Xbox Game Pass,entretenimiento,es,Xbox Game Pass
PAGO ANUALIDAD TARJETA SANTANDER,finanzas,es,Anualidad Tarjeta Santander
ROBINHOOD DEPOSIT #4676,ahorro_inversion,en,Robinhood Deposit
Pago de Hipoteca CDMX,vivienda,es,Pago de Hipoteca
PAGO SERVICIO Salon de Belleza Glamour,otros,es,Salon de Belleza Glamour
DOM CFE ELECTRICIDAD,servicios,es,CFE Electricidad
COMPRA TDC UBER,transporte,es,Uber
Poupanca Deposito #1448,ahorro_inversion,pt,Poupanca Deposito
POS WHOLE FOODS MARKET,alimentacion,en,Whole Foods Market
PARKING GARAGE DOWNTOWN,transporte,en,Parking Garage Downtown
TARJ Farmacias del Ahorro,salud,es,Farmacias del Ahorro
PAGAMENTO DE DIVIDA,finanzas,pt,Pagamento de Divida
Laboratorio Chopo #9808,salud,es,Laboratorio Chopo
ACH Charity Donation,otros,en,Charity Donation
Fund Contribution,ahorro_inversion,en,Fund Contribution
JUROS,finanzas,pt,Juros
Cobro a Cliente Freelance SUC 3798,ingresos,es,Cobro a Cliente Freelance
Lavanderia Rapida *MYFTZ,otros,pt,Lavanderia Rapida
AMAZON MEXICO,compras,es,Amazon Mexico
CARTAO DEEZER PREMIUM,entretenimiento,pt,Deezer Premium
PAGO SUPERAMA,alimentacion,es,Superama
PAGO Paramount Plus,entretenimiento,es,Paramount Plus
Comida MERIDA,alimentacion,es,Comida
POS Client Invoice Paid,ingresos,en,Client Invoice Paid
AMAZON PRIME VIDEO,entretenimiento,es,Amazon Prime Video
COMISION BANCARIA,finanzas,es,Comision Bancaria
Steam Store CHICAGO,entretenimiento,en,Steam Store
CFE ELECTRICIDAD,servicios,es,CFE Electricidad
PIX RECEBIDO SALARIO PORTO ALEGRE,ingresos,pt,PIX Recebido Salario
Cine,entretenimiento,es,Cine
Udemy Course,educacion,en,Udemy Course
DEPOSITO DE NOMINA,ingresos,es,Deposito de Nomina
CAFETERIA,alimentacion,es,Cafeteria
DEBITO AUTOMATICO CARREFOUR,alimentacion,pt,Carrefour
FERRETERIA EL TORNILLO *KY9YCKVJ,vivienda,es,Ferreteria El Tornillo
Cinema PORTO ALEGRE,entretenimiento,pt,Cinema
RESTAURANTE FOGO DE CHAO *4QOD,alimentacion,pt,Restaurante Fogo de Chao
LabCorp US,salud,en,LabCorp
INTEREST CHARGE,finanzas,en,Interest Charge
COMPRA EN Home Depot Mexico,vivienda,es,Home Depot Mexico
Receita,ingresos,pt,Receita
APLICACAO FINANCEIRA,ahorro_inversion,pt,Aplicacao Financeira
AMTRAK US,transporte,en,Amtrak
AUTOBUSES ADO *PS5094DF,transporte,es,Autobuses ADO
