tasa_ahorro,ratio_endeudamiento,ratio_gasto_ingreso,ratio_gasto_esencial,ratio_gasto_discrecional,concentracion_gasto,frecuencia_ahorro_num,ratio_recurrente,perfil_slug
0.033,0.644,0.967,0.492,0.146,0.088,1,0.309,en_riesgo
0.062,0.289,0.938,0.494,0.162,0.349,1,0.354,en_riesgo
0.138,0.268,0.862,0.682,0.168,0.198,2,0.090,en_observacion
0.533,0.150,0.467,0.253,0.115,0.522,3,0.416,saludable
0.550,0.053,0.450,0.305,0.062,0.264,3,0.195,saludable
0.515,0.052,0.485,0.248,0.071,0.400,3,0.454,saludable
0.000,0.398,1.000,0.667,0.128,0.446,0,0.292,en_riesgo
0.048,0.201,0.952,0.594,0.225,0.048,2,0.190,en_observacion
0.160,0.273,0.840,0.564,0.262,0.278,1,0.412,en_observacion
0.155,0.178,0.845,0.594,0.149,0.551,1,0.098,en_observacion
-0.146,0.766,1.146,0.518,0.130,0.685,0,0.018,en_riesgo
0.242,0.093,0.758,0.413,0.118,0.307,3,0.094,saludable
0.225,0.393,0.775,0.502,0.270,0.789,1,0.118,en_riesgo
0.038,0.584,0.962,0.665,0.129,0.588,0,0.550,en_riesgo
0.226,0.434,0.774,0.568,0.203,0.205,1,0.110,en_observacion
0.030,0.668,0.970,0.743,0.103,0.455,0,0.340,en_riesgo
0.234,0.441,0.766,0.395,0.153,0.119,1,0.286,en_riesgo
0.025,0.442,0.975,0.603,0.222,0.369,2,0.142,en_riesgo
0.495,0.051,0.505,0.266,0.142,0.352,3,0.244,saludable
0.094,0.211,0.906,0.604,0.274,0.735,2,0.366,en_observacion
0.438,0.163,0.562,0.339,0.095,0.564,3,0.111,saludable
-0.193,0.565,1.193,0.565,0.367,0.592,0,0.507,en_riesgo
0.055,0.278,0.945,0.709,0.184,0.547,2,0.086,en_observacion
0.196,0.374,0.804,0.418,0.257,0.641,1,0.412,en_riesgo
-0.038,0.511,1.038,0.520,0.203,0.392,0,0.162,en_riesgo
0.045,0.222,0.955,0.489,0.252,0.504,1,0.207,en_observacion
0.283,0.233,0.717,0.484,0.212,0.211,3,0.115,saludable
0.148,0.320,0.852,0.633,0.100,0.123,2,0.357,en_observacion
0.111,0.239,0.889,0.461,0.107,0.543,1,0.102,en_observacion
0.313,0.204,0.687,0.376,0.301,0.718,2,0.199,saludable
0.350,0.249,0.650,0.340,0.183,0.524,2,0.027,saludable
-0.271,0.661,1.271,0.755,0.284,0.634,1,0.553,en_riesgo
0.271,0.227,0.729,0.396,0.143,0.515,3,0.229,saludable
0.229,0.213,0.771,0.408,0.091,0.711,3,0.160,en_observacion
-0.214,0.685,1.214,0.865,0.187,0.513,1,0.469,en_riesgo
-0.289,0.585,1.289,0.939,0.341,0.261,0,0.146,en_riesgo
-0.092,0.705,1.092,0.866,0.212,0.761,0,0.303,en_riesgo
0.126,0.167,0.874,0.658,0.091,0.471,1,0.247,en_observacion
-0.073,0.454,1.073,0.843,0.195,0.402,0,0.119,en_riesgo
0.105,0.192,0.895,0.685,0.200,0.547,2,0.036,en_observacion
-0.240,0.698,1.240,0.941,0.236,0.454,0,0.103,en_riesgo
0.255,0.083,0.745,0.558,0.083,0.346,3,0.183,saludable
0.097,0.337,0.903,0.625,0.216,0.467,1,0.125,en_riesgo
-0.186,0.575,1.186,0.919,0.192,0.271,0,0.330,en_riesgo
-0.175,0.431,1.175,0.568,0.118,0.779,0,0.224,en_riesgo
0.325,0.103,0.675,0.358,0.281,0.767,3,0.263,saludable
0.090,0.408,0.910,0.474,0.259,0.173,2,0.092,en_riesgo
0.110,0.302,0.890,0.528,0.294,0.248,2,0.157,en_observacion
0.439,0.044,0.561,0.306,0.069,0.519,3,0.232,saludable
-0.397,0.355,1.397,1.070,0.242,0.544,0,0.191,en_riesgo
0.194,0.164,0.806,0.563,0.084,0.162,1,0.040,saludable
0.535,0.056,0.465,0.277,0.072,0.134,3,0.311,saludable
-0.403,0.787,1.403,0.670,0.558,0.692,0,0.273,en_riesgo
0.123,0.244,0.877,0.620,0.150,0.597,2,0.275,en_observacion
0.333,0.232,0.667,0.462,0.203,0.463,2,0.118,saludable
-0.210,0.729,1.210,0.948,0.213,0.401,0,0.167,en_riesgo
0.146,0.307,0.854,0.394,0.269,0.480,1,0.433,en_observacion
0.102,0.157,0.898,0.513,0.214,0.132,2,0.328,en_observacion
-0.441,0.369,1.441,0.924,0.199,0.254,0,0.065,en_riesgo
0.227,0.277,0.773,0.484,0.283,0.666,2,0.289,en_observacion
0.445,0.008,0.555,0.289,0.188,0.530,3,0.398,saludable
0.197,0.420,0.803,0.373,0.219,0.543,1,0.203,en_observacion
0.209,0.306,0.791,0.405,0.249,0.436,2,0.078,en_observacion
0.417,0.096,0.583,0.329,0.076,0.455,3,0.384,saludable
-0.372,0.753,1.372,0.986,0.338,0.517,0,0.153,en_riesgo
0.001,0.474,0.999,0.464,0.257,0.487,0,0.190,en_riesgo
0.186,0.301,0.814,0.467,0.232,0.470,1,0.236,en_observacion
0.264,0.146,0.736,0.571,0.084,0.593,2,0.348,saludable
0.222,0.224,0.778,0.438,0.232,0.608,2,0.355,en_observacion
-0.424,0.492,1.424,0.866,0.315,0.191,0,0.333,en_riesgo
0.218,0.187,0.782,0.389,0.166,0.605,3,0.101,saludable
0.153,0.254,0.847,0.610,0.142,0.560,2,0.329,en_observacion
0.227,0.319,0.773,0.551,0.151,0.283,1,0.342,en_observacion
0.249,0.162,0.751,0.387,0.164,0.793,3,0.238,saludable
0.173,0.240,0.827,0.583,0.090,0.578,1,0.241,en_observacion
0.100,0.419,0.900,0.430,0.211,0.279,2,0.232,en_riesgo
0.230,0.229,0.770,0.403,0.130,0.188,2,0.341,en_observacion
0.108,0.171,0.892,0.423,0.316,0.230,1,0.150,en_observacion
0.358,0.107,0.642,0.399,0.154,0.499,3,0.373,saludable
0.158,0.306,0.842,0.475,0.170,0.343,1,0.343,en_observacion
0.547,0.012,0.453,0.360,0.047,0.386,3,0.022,saludable
0.507,0.139,0.493,0.359,0.114,0.826,3,0.171,saludable
0.116,0.296,0.884,0.471,0.252,0.420,1,0.238,en_observacion
-0.266,0.691,1.266,0.888,0.274,0.411,1,0.326,en_riesgo
0.361,0.120,0.639,0.298,0.154,0.358,3,0.348,saludable
0.032,0.354,0.968,0.636,0.149,0.084,1,0.360,en_riesgo
0.237,0.193,0.763,0.443,0.306,0.679,1,0.116,en_observacion
0.237,0.427,0.763,0.483,0.189,0.243,2,0.127,en_observacion
-0.419,0.590,1.419,0.868,0.313,0.222,0,0.262,en_riesgo
0.158,0.338,0.842,0.423,0.353,0.505,2,0.280,en_observacion
-0.139,0.356,1.139,0.715,0.249,0.593,0,0.278,en_riesgo
0.089,0.435,0.911,0.631,0.096,0.386,1,0.325,en_riesgo
0.515,0.164,0.485,0.221,0.143,0.338,3,0.213,saludable
0.549,0.111,0.451,0.229,0.116,0.482,3,0.566,saludable
-0.156,0.650,1.156,0.825,0.122,0.672,0,0.061,en_riesgo
0.377,0.049,0.623,0.460,0.153,0.230,3,0.096,saludable
0.521,0.124,0.479,0.321,0.105,0.153,3,0.112,saludable
0.241,0.182,0.759,0.518,0.215,0.624,3,0.113,en_observacion
0.256,0.099,0.744,0.399,0.202,0.160,3,0.066,saludable
0.125,0.292,0.875,0.622,0.144,0.263,2,0.129,en_observacion
0.013,0.264,0.987,0.785,0.189,0.579,2,0.272,en_riesgo
-0.184,0.752,1.184,0.604,0.385,0.924,0,0.156,en_riesgo
0.048,0.257,0.952,0.484,0.342,0.395,1,0.180,en_riesgo
0.205,0.309,0.795,0.518,0.098,0.524,2,0.133,en_observacion
0.297,0.209,0.703,0.534,0.150,0.559,2,0.219,en_observacion
-0.173,0.654,1.173,0.934,0.137,0.300,1,0.091,en_riesgo
0.514,0.159,0.486,0.256,0.166,0.449,3,0.618,saludable
0.093,0.256,0.907,0.652,0.254,0.537,2,0.029,en_observacion
0.244,0.173,0.756,0.348,0.223,0.638,2,0.210,saludable
-0.183,0.449,1.183,0.837,0.169,0.414,1,0.225,en_riesgo
-0.166,0.547,1.166,0.610,0.357,0.569,0,0.255,en_riesgo
-0.280,0.544,1.280,0.781,0.282,0.468,1,0.473,en_riesgo
0.136,0.156,0.864,0.425,0.152,0.428,1,0.121,en_observacion
0.542,0.235,0.458,0.227,0.069,0.799,2,0.320,saludable
0.201,0.095,0.799,0.630,0.085,0.702,3,0.106,saludable
0.033,0.669,0.967,0.438,0.151,0.611,1,0.197,en_riesgo
0.030,0.350,0.970,0.546,0.125,0.406,1,0.138,en_riesgo
-0.429,0.744,1.429,1.031,0.181,0.471,0,0.266,en_riesgo
0.343,0.064,0.657,0.369,0.129,0.219,3,0.231,saludable
-0.308,0.744,1.308,0.716,0.176,0.789,0,0.222,en_riesgo
0.358,0.141,0.642,0.436,0.094,0.410,3,0.512,saludable
-0.096,0.750,1.096,0.761,0.172,0.721,1,0.401,en_riesgo
0.457,0.215,0.543,0.316,0.191,0.377,3,0.227,saludable
-0.174,0.687,1.174,0.718,0.335,0.313,1,0.317,en_riesgo
0.475,0.067,0.525,0.318,0.090,0.478,3,0.065,saludable
-0.312,0.741,1.312,0.745,0.397,0.478,1,0.174,en_riesgo
0.113,0.426,0.887,0.683,0.186,0.160,2,0.246,en_riesgo
-0.330,0.638,1.330,0.753,0.420,0.567,0,0.080,en_riesgo
-0.085,0.473,1.085,0.615,0.228,0.764,0,0.318,en_riesgo
0.535,0.180,0.465,0.346,0.051,0.325,3,0.431,saludable
-0.379,0.433,1.379,0.910,0.255,0.750,0,0.124,en_riesgo
0.300,0.150,0.700,0.339,0.116,0.507,3,0.080,saludable
0.016,0.227,0.984,0.503,0.118,0.495,1,0.348,en_observacion
0.153,0.317,0.847,0.427,0.361,0.523,1,0.317,en_observacion
0.427,0.175,0.573,0.376,0.078,0.760,3,0.289,saludable
-0.289,0.438,1.289,0.798,0.288,0.901,0,0.184,en_riesgo
-0.231,0.764,1.231,0.604,0.363,0.521,0,0.042,en_riesgo
-0.001,0.489,1.001,0.465,0.128,0.279,0,0.067,en_riesgo
-0.247,0.639,1.247,0.869,0.333,0.446,1,0.163,en_riesgo
0.093,0.276,0.907,0.546,0.186,0.066,1,0.625,en_observacion
-0.110,0.465,1.110,0.778,0.121,0.078,1,0.302,en_riesgo
0.292,0.025,0.708,0.396,0.074,0.633,2,0.257,saludable
-0.087,0.362,1.087,0.629,0.232,0.536,0,0.415,en_riesgo
-0.348,0.615,1.348,0.792,0.149,0.058,1,0.073,en_riesgo
0.429,0.146,0.571,0.320,0.121,0.200,3,0.255,saludable
0.247,0.425,0.753,0.590,0.100,0.662,1,0.172,en_riesgo
0.036,0.683,0.964,0.459,0.134,0.262,1,0.261,en_riesgo
0.373,0.025,0.627,0.312,0.175,0.551,3,0.105,saludable
0.149,0.196,0.851,0.409,0.347,0.617,2,0.005,en_observacion
0.548,0.149,0.452,0.233,0.052,0.214,2,0.401,saludable
0.538,0.248,0.462,0.360,0.097,0.237,3,0.219,saludable
0.441,0.242,0.559,0.339,0.146,0.554,3,0.123,saludable
-0.231,0.665,1.231,0.846,0.319,0.754,1,0.022,en_riesgo
-0.146,0.734,1.146,0.745,0.115,0.556,0,0.239,en_riesgo
-0.436,0.764,1.436,0.952,0.202,0.333,1,0.497,en_riesgo
0.257,0.121,0.743,0.339,0.197,0.427,2,0.177,saludable
-0.063,0.499,1.063,0.657,0.405,0.435,0,0.040,en_riesgo
-0.261,0.581,1.261,0.790,0.438,0.383,1,0.356,en_riesgo
0.394,0.081,0.606,0.447,0.086,0.610,3,0.158,saludable
0.055,0.238,0.945,0.534,0.350,0.100,2,0.233,en_observacion
0.195,0.431,0.805,0.403,0.150,0.206,1,0.034,en_riesgo
0.438,0.241,0.562,0.308,0.145,0.226,3,0.345,saludable
0.146,0.327,0.854,0.630,0.115,0.596,1,0.251,en_observacion
0.188,0.408,0.812,0.425,0.169,0.441,1,0.413,en_riesgo
-0.070,0.539,1.070,0.530,0.249,0.638,0,0.130,en_riesgo
0.531,0.184,0.469,0.281,0.116,0.436,2,0.228,saludable
0.175,0.164,0.825,0.495,0.301,0.057,1,0.250,en_observacion
-0.329,0.797,1.329,0.995,0.301,0.359,1,0.326,en_riesgo
-0.431,0.462,1.431,1.023,0.391,0.209,1,0.296,en_riesgo
0.484,0.214,0.516,0.249,0.181,0.357,3,0.441,saludable
0.185,0.233,0.815,0.414,0.364,0.300,2,0.178,en_observacion
-0.431,0.656,1.431,1.041,0.264,0.634,1,0.107,en_riesgo
-0.430,0.408,1.430,0.993,0.208,0.529,0,0.178,en_riesgo
0.478,0.078,0.522,0.239,0.081,0.364,2,0.246,saludable
0.143,0.234,0.857,0.638,0.188,0.502,2,0.261,en_observacion
0.095,0.274,0.905,0.499,0.229,0.708,1,0.384,en_riesgo
-0.303,0.456,1.303,0.780,0.239,0.355,0,0.232,en_riesgo
0.313,0.086,0.687,0.387,0.199,0.347,3,0.128,saludable
0.403,0.179,0.597,0.417,0.115,0.561,3,0.283,saludable
-0.260,0.490,1.260,0.626,0.211,0.543,0,0.397,en_riesgo
0.131,0.410,0.869,0.511,0.169,0.334,1,0.046,en_riesgo
0.116,0.399,0.884,0.679,0.150,0.146,1,0.246,en_riesgo
0.485,0.048,0.515,0.264,0.210,0.100,3,0.228,saludable
0.003,0.434,0.997,0.587,0.198,0.493,1,0.095,en_riesgo
-0.022,0.585,1.022,0.487,0.175,0.426,0,0.294,en_riesgo
0.473,0.117,0.527,0.421,0.105,0.375,3,0.092,saludable
-0.129,0.733,1.129,0.721,0.167,0.074,0,0.233,en_riesgo
0.187,0.286,0.813,0.571,0.117,0.198,1,0.363,en_observacion
0.161,0.342,0.839,0.414,0.199,0.537,2,0.034,en_riesgo
0.465,0.066,0.535,0.375,0.154,0.699,3,0.466,saludable
-0.302,0.423,1.302,0.640,0.490,0.562,0,0.216,en_riesgo
0.088,0.322,0.912,0.554,0.190,0.637,1,0.136,en_riesgo
0.282,0.209,0.718,0.378,0.153,0.283,2,0.249,saludable
0.301,0.182,0.699,0.442,0.130,0.569,3,0.444,saludable
-0.349,0.749,1.349,1.078,0.156,0.628,0,0.606,en_riesgo
0.374,0.214,0.626,0.456,0.105,0.302,3,0.256,saludable
0.362,0.110,0.638,0.417,0.065,0.561,3,0.328,saludable
0.543,0.101,0.457,0.279,0.173,0.327,3,0.120,saludable
-0.014,0.665,1.014,0.782,0.206,0.814,0,0.260,en_riesgo
0.221,0.415,0.779,0.379,0.134,0.370,1,0.194,en_riesgo
-0.128,0.552,1.128,0.732,0.165,0.454,0,0.251,en_riesgo
-0.252,0.429,1.252,0.675,0.553,0.277,0,0.102,en_riesgo
-0.188,0.579,1.188,0.644,0.474,0.292,1,0.124,en_riesgo
0.387,0.239,0.613,0.481,0.123,0.637,2,0.249,saludable
-0.056,0.369,1.056,0.792,0.151,0.809,0,0.196,en_riesgo
-0.252,0.388,1.252,0.596,0.384,0.544,0,0.498,en_riesgo
0.247,0.188,0.753,0.430,0.309,0.342,2,0.143,en_observacion
0.044,0.315,0.956,0.450,0.163,0.255,2,0.294,en_riesgo
0.015,0.358,0.985,0.620,0.315,0.610,0,0.094,en_riesgo
-0.041,0.381,1.041,0.488,0.429,0.418,0,0.123,en_riesgo
0.103,0.194,0.897,0.493,0.127,0.563,1,0.528,en_observacion
0.471,0.118,0.529,0.407,0.074,0.450,3,0.243,saludable
0.285,0.039,0.715,0.521,0.163,0.249,3,0.151,saludable
0.290,0.038,0.710,0.512,0.139,0.463,2,0.061,saludable
0.502,0.059,0.498,0.278,0.204,0.284,2,0.387,saludable
0.243,0.228,0.757,0.462,0.159,0.280,2,0.017,saludable
0.346,0.011,0.654,0.391,0.148,0.287,3,0.395,saludable
0.323,0.010,0.677,0.460,0.148,0.925,3,0.329,saludable
-0.006,0.480,1.006,0.638,0.328,0.121,0,0.159,en_riesgo
0.095,0.288,0.905,0.533,0.206,0.478,1,0.444,en_observacion
0.175,0.379,0.825,0.396,0.202,0.324,1,0.105,en_observacion
0.321,0.120,0.679,0.327,0.226,0.361,3,0.447,saludable
0.296,0.071,0.704,0.485,0.071,0.738,2,0.061,saludable
0.265,0.040,0.735,0.525,0.079,0.239,3,0.247,saludable
0.379,0.019,0.621,0.451,0.154,0.506,3,0.283,saludable
-0.051,0.445,1.051,0.633,0.162,0.455,1,0.031,en_riesgo
0.513,0.243,0.487,0.271,0.162,0.279,3,0.399,saludable
0.025,0.183,0.975,0.729,0.147,0.456,2,0.083,en_riesgo
-0.038,0.449,1.038,0.467,0.276,0.414,0,0.599,en_riesgo
0.506,0.104,0.494,0.374,0.057,0.679,3,0.441,saludable
0.031,0.232,0.969,0.540,0.108,0.354,1,0.219,en_riesgo
-0.124,0.478,1.124,0.843,0.235,0.312,0,0.172,en_riesgo
-0.439,0.550,1.439,0.836,0.205,0.516,0,0.370,en_riesgo
0.102,0.302,0.898,0.544,0.233,0.284,1,0.090,en_observacion
-0.122,0.457,1.122,0.798,0.257,0.207,1,0.544,en_riesgo
0.096,0.411,0.904,0.469,0.258,0.337,1,0.188,en_riesgo
0.020,0.302,0.980,0.535,0.324,0.199,1,0.326,en_riesgo
0.230,0.233,0.770,0.430,0.340,0.445,2,0.134,en_observacion
0.454,0.239,0.546,0.280,0.090,0.206,3,0.192,saludable
0.101,0.281,0.899,0.567,0.254,0.298,2,0.310,en_observacion
0.317,0.176,0.683,0.403,0.106,0.596,3,0.068,saludable
0.546,0.031,0.454,0.344,0.073,0.506,2,0.286,saludable
-0.353,0.406,1.353,1.058,0.209,0.420,0,0.200,en_riesgo
0.467,0.111,0.533,0.321,0.092,0.652,3,0.102,saludable
0.099,0.252,0.901,0.672,0.105,0.951,2,0.261,en_observacion
0.028,0.388,0.972,0.536,0.158,0.653,1,0.700,en_riesgo
0.015,0.247,0.985,0.702,0.222,0.328,2,0.262,en_riesgo
-0.093,0.691,1.093,0.793,0.157,0.830,0,0.333,en_riesgo
-0.216,0.710,1.216,0.880,0.262,0.802,0,0.191,en_riesgo
0.071,0.198,0.929,0.576,0.156,0.139,1,0.314,en_observacion
-0.241,0.535,1.241,0.649,0.477,0.601,0,0.412,en_riesgo
-0.002,0.353,1.002,0.697,0.173,0.248,1,0.424,en_riesgo
0.535,0.110,0.465,0.315,0.119,0.308,3,0.136,saludable
0.141,0.426,0.859,0.651,0.163,0.288,2,0.115,en_riesgo
0.096,0.209,0.904,0.467,0.370,0.514,2,0.397,en_observacion
0.207,0.056,0.793,0.512,0.104,0.611,3,0.077,saludable
0.227,0.128,0.773,0.444,0.147,0.269,3,0.152,saludable
0.071,0.202,0.929,0.554,0.108,0.307,2,0.085,en_observacion
0.001,0.317,0.999,0.674,0.286,0.508,2,0.091,en_riesgo
0.041,0.202,0.959,0.685,0.263,0.183,2,0.432,en_observacion
0.112,0.163,0.888,0.466,0.374,0.188,1,0.070,en_observacion
0.255,0.155,0.745,0.418,0.309,0.403,3,0.162,saludable
0.528,0.001,0.472,0.310,0.100,0.450,3,0.256,saludable
0.434,0.179,0.566,0.421,0.061,0.558,3,0.256,saludable
0.023,0.740,0.977,0.621,0.329,0.110,0,0.089,en_riesgo
-0.221,0.466,1.221,0.622,0.318,0.326,0,0.493,en_riesgo
-0.152,0.552,1.152,0.534,0.233,0.728,0,0.083,en_riesgo
0.467,0.200,0.533,0.315,0.120,0.272,3,0.328,saludable
0.389,0.163,0.611,0.318,0.083,0.455,3,0.113,saludable
0.201,0.345,0.799,0.403,0.327,0.010,2,0.310,en_observacion
-0.141,0.690,1.141,0.801,0.154,0.386,0,0.133,en_riesgo
0.337,0.083,0.663,0.498,0.132,0.556,3,0.129,saludable
0.546,0.158,0.454,0.251,0.074,0.452,3,0.085,saludable
0.520,0.159,0.480,0.223,0.072,0.613,3,0.100,saludable
0.056,0.359,0.944,0.699,0.136,0.170,2,0.545,en_riesgo
0.230,0.188,0.770,0.522,0.232,0.639,3,0.205,saludable
-0.426,0.543,1.426,1.055,0.215,0.472,1,0.281,en_riesgo
-0.060,0.664,1.060,0.547,0.194,0.333,1,0.311,en_riesgo
0.147,0.244,0.853,0.589,0.093,0.277,1,0.296,en_observacion
-0.084,0.699,1.084,0.559,0.384,0.790,0,0.420,en_riesgo
-0.273,0.778,1.273,0.986,0.223,0.623,1,0.529,en_riesgo
0.505,0.203,0.495,0.351,0.141,0.720,3,0.071,saludable
-0.215,0.430,1.215,0.628,0.149,0.477,0,0.256,en_riesgo
0.329,0.016,0.671,0.351,0.228,0.365,3,0.092,saludable
-0.390,0.414,1.390,0.989,0.221,0.552,0,0.180,en_riesgo
0.373,0.028,0.627,0.474,0.095,0.240,3,0.125,saludable
-0.038,0.437,1.038,0.674,0.219,0.116,0,0.243,en_riesgo
-0.209,0.506,1.209,0.863,0.188,0.591,1,0.205,en_riesgo
-0.261,0.652,1.261,0.694,0.154,0.593,0,0.398,en_riesgo
0.225,0.202,0.775,0.416,0.257,0.300,2,0.437,en_observacion
-0.288,0.733,1.288,0.895,0.231,0.194,1,0.280,en_riesgo
-0.242,0.354,1.242,0.835,0.384,0.308,0,0.408,en_riesgo
0.341,0.107,0.659,0.308,0.230,0.522,3,0.203,saludable
0.325,0.154,0.675,0.447,0.185,0.389,2,0.317,saludable
0.301,0.012,0.699,0.410,0.244,0.742,3,0.170,saludable
0.178,0.211,0.822,0.600,0.101,0.148,2,0.183,en_observacion
0.042,0.335,0.958,0.552,0.266,0.352,2,0.128,en_riesgo
0.145,0.155,0.855,0.443,0.316,0.371,1,0.065,en_observacion
0.023,0.721,0.977,0.461,0.357,0.500,0,0.322,en_riesgo
-0.002,0.439,1.002,0.801,0.110,0.396,1,0.198,en_riesgo
-0.099,0.474,1.099,0.757,0.318,0.208,1,0.411,en_riesgo
-0.290,0.380,1.290,1.011,0.274,0.556,0,0.108,en_riesgo
0.531,0.020,0.469,0.333,0.130,0.045,3,0.354,saludable
0.194,0.161,0.806,0.517,0.231,0.375,2,0.124,en_observacion
-0.182,0.719,1.182,0.586,0.165,0.329,0,0.239,en_riesgo
0.123,0.368,0.877,0.650,0.096,0.468,2,0.048,en_observacion
